txid,issuer_country,txvariantcode,bin,amount,currency,shopper_country,creation_date,shopper_email,card_number_hash,fraud
0,DE,VISABUSINESS,794962,20876,EUR,UA,2014-03-02 15:21:33,michallevy@comcast.net,card853505,true
1,PL,MCDEBIT,506222,453,PLN,PL,2014-03-03 22:28:48,ossie_goble@gmx.de,card269538,false
2,AE,MCDEBIT,458187,3887,AED,AE,2014-02-14 21:13:39,carola.giron@outlook.com,card840790,false
3,GB,VISADEBIT,190652,1868,GBP,GB,2014-03-02 12:56:07,rhea-mayers@rediffmail.com,card252673,false
4,DE,VISABUSINESS,838325,1231,EUR,DE,2014-02-28 13:46:57,sacha_baylor@yandex.com,card864506,false
5,ES,MCCREDIT,172695,3085,EUR,ES,2014-02-15 17:02:54,sharla.epps@gmx.de,card185485,false
6,DE,MCDEBIT,941570,993,EUR,DE,2014-03-10 04:12:46,charleen.magana@rediffmail.com,card990770,false
7,ES,MCDEBIT,906281,1442,EUR,UA,2014-02-21 19:23:28,wyatt.cohen@comcast.net,card119845,false
8,AE,MCDEBIT,458187,4126,AED,AE,2014-02-11 11:21:55,carola.giron@bellsouth.net,card840790,false
9,PT,VISABUSINESS,462923,1763,EUR,PT,2014-02-11 03:16:14,jodyness@bellsouth.net,card679729,false
10,SE,MCCREDIT,866660,7802,SEK,SE,2014-03-10 16:17:57,tawanda.hardaway@verizon.net,card382115,false
11,GB,VISA,462434,1348,GBP,GB,2014-02-25 07:07:06,raymonvilla@sbcglobal.net,card41732,false
12,GB,VISACLASSIC,692920,647,GBP,GB,2014-03-09 04:08:44,jeramy.alger@gmx.de,card306975,false
13,US,MCCREDIT,723703,3050,USD,US,2014-02-26 14:24:02,lizeth-reichert@comcast.net,card978104,true
14,MX,VISACLASSIC,493524,49972,MXN,MX,2014-02-20 04:12:17,michale_gerber@rediffmail.com,card14939,false
15,NO,VISA,947059,1640,NOK,NO,2014-02-28 21:02:00,arceliabook@shaw.ca,card977283,false
16,DE,VISADEBIT,410139,2012,EUR,NI,2014-02-12 21:38:37,graham.brunson@rediffmail.com,card991695,false
17,PT,MCDEBIT,777673,4139,EUR,PT,2014-02-19 06:09:27,gay.cordell@sky.com,card455594,false
18,IT,VISADEBIT,573061,4580,GBP,UA,2014-02-25 23:43:45,erinn.trahan@orange.fr,card390340,true
19,ES,MCDEBIT,175968,602,EUR,ES,2014-02-28 05:12:27,vernita-epstein@msn.com,card817072,true
20,GB,VISABUSINESS,234802,2405,GBP,GB,2014-03-11 02:54:52,philomenahaskins@charter.net,card324957,false
21,ES,VISADEBIT,688618,301,EUR,ES,2014-02-27 09:29:50,carolin_whittle@barcelona.com,card573526,false
22,SE,MCDEBIT,151689,4656,SEK,SE,2014-03-11 19:19:39,donelladevine@qq.com,card185102,false
23,PT,VISABUSINESS,462923,3699,EUR,PT,2014-03-09 07:39:38,jody_ness@barcelona.com,card679729,false
24,PT,VISABUSINESS,970785,526,EUR,PT,2014-03-03 15:52:58,rodrigo.garrett@sky.com,card568708,false
25,NL,VISA,818435,1131,EUR,NL,2014-03-12 07:03:01,augustawarner@wanadoo.fr,card554683,false
26,AE,MCDEBIT,458187,146,AED,AE,2014-03-11 06:47:37,carola.giron@outlook.com,card840790,false
27,GB,VISADEBIT,190652,1625,GBP,GB,2014-02-16 23:54:25,rhea-mayers@rediffmail.com,card252673,false
28,NL,VISA,818435,3500,EUR,NL,2014-02-21 01:14:20,augusta_warner@aol.com,card554683,false
29,GB,VISABUSINESS,234802,3987,GBP,GB,2014-03-08 04:39:09,philomenahaskins@charter.net,card324957,false
30,SE,VISA,547468,14000,SEK,SE,2014-02-23 13:11:50,lupita_sewell@protonmail.com,card582142,false
31,AE,MCDEBIT,458187,2693,AED,AE,2014-02-28 23:11:06,carola.giron@bellsouth.net,card840790,false
32,IT,VISADEBIT,573061,17934,EUR,NI,2014-02-15 05:24:36,joshua.horn@rediffmail.com,card116991,true
33,NL,VISA,818435,1297,EUR,NL,2014-02-21 17:40:44,augusta_warner@aol.com,card554683,false
34,US,MCCREDIT,723703,1310,USD,US,2014-02-26 14:23:37,lizeth-reichert@comcast.net,card978104,true
35,SE,MCDEBIT,151689,7935,SEK,SE,2014-03-07 07:24:47,donelladevine@qq.com,card185102,false
